ID,filename,NAME,(C2H6+C2H2)/C2H4_Select,C2H6/C2H4_Select,C2H2/C2H4_Select,C2H6-uptake_mmol/g,C2H2-uptake_mmol/g,C2H4-uptake_mmol/g,VOL_A3,DEN_g1cm-3,GCD_A,PLD_A,LCD_A,Sa_A2,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,All_Metals,Has_OMS,Open_Metal_Sites
369,AXINIF_clean,AXINIF_clean,2.870308339,2.101082109,0.76922623,5.147444943,1.884528764,2.449901849,9411.34961,0.75066,9.6188,8.65235,9.60052,1884.78003,2002.67004,2667.87012,6418.4502,0.68199,0.90852,Co,Yes,Co
375,AXUBAW_manual,AXUBAW_manual,2.512539943,2.073888927,0.438651015,3.929573057,0.831149243,1.894784723,4200.95996,0.74172,14.24572,5.52422,14.23389,717.15399,1707.12,2301.57007,3009.98999,0.7165,0.966,Zn,No, 
378,AXUHAD_clean,AXUHAD_clean,2.630107842,2.258845831,0.371262011,4.520808889,0.743036366,2.001380009,11562.7998,0.79241,9.91084,4.94321,9.90364,1687.52002,1459.43994,1841.78003,7332.87988,0.63418,0.80032,Co,Yes,Co
379,AXUHEH_clean,AXUHEH_clean,3.774219314,2.226168086,1.548051227,1.602687202,1.114489919,0.719930904,8603.82031,1.06453,7.21454,5.63203,7.19196,763.06097,886.88599,833.125,4331.16016,0.5034,0.47289,"Na,Co",Yes,"Na,Co"
384,AYOXUJ_clean,AYOXUJ_clean,38.86446679,1.357163894,37.5073029,0.113971966,3.149789851,0.083978042,4571.99023,1.11362,6.31092,5.4451,6.31092,323.517,707.60602,635.40997,2271.32007,0.49679,0.4461,Co,Yes,Co
391,AZAVUU_clean,AZAVUU_clean,3.590108136,2.438675787,1.151432349,1.999743973,0.94418861,0.820012231,5511.91992,1.18498,5.48228,4.93668,5.47166,497.48599,902.56299,761.66699,2938.02002,0.53303,0.44982,Cu,Yes,Cu
393,AZEBUE_clean,AZEBUE_clean,6.86269711,2.625442026,4.237255085,0.774768631,1.250415088,0.295100263,3069.58008,1.81828,5.44142,4.51467,5.32983,270.84,882.33801,485.26001,1521.95996,0.49582,0.27269,Ho,Yes,Ho
398,AZIVAI_clean,AZIVAI_clean,2.607807954,2.288934136,0.318873818,6.955525136,0.968981511,3.038761591,3619.69995,0.68242,7.0547,5.80911,7.0547,924.48499,2554.03003,3742.62012,2589.25,0.71532,1.04821,Cu,Yes,Cu
399,AZIXUD_clean,AZIXUD_clean,7.479618579,1.971266139,5.50835244,1.350965888,3.775033771,0.685329018,3024.66992,1.10463,5.99991,4.88169,5.99991,483.38901,1598.15002,1446.78003,1863.85999,0.61622,0.55785,Zn,Yes,Zn
411,BAFHAU_clean,BAFHAU_clean,1.969127517,1.369413543,0.599713973,0.30734823,0.134598514,0.224437849,3515.02002,0.85855,9.02635,7.37185,9.02635,717.06097,2039.98999,2376.09009,2572.88989,0.73197,0.85256,Cu,No, 
420,BAKGIF_manual,BAKGIF_manual,2.746834909,1.960165938,0.786668971,2.55947576,1.027188629,1.305744432,1244.45996,1.01674,7.54763,6.30914,7.54763,168.364,1352.91003,1330.63,757.89899,0.60902,0.59899,Ni,No, 
